age,education,occupation,experience,hours-per-week,salary
44,PhD,Legal Advisor,9,28,58146
53,HS-grad,Graphic Designer,1,48,27344
36,Bachelors,Software Engineer,9,34,41988
62,Masters,Data Scientist,3,26,53875
53,HS-grad,Sales Associate,18,20,38005
49,PhD,Research Scientist,31,25,83263
27,PhD,Professor,1,46,51139
42,Assoc,Quality Analyst,14,34,36887
26,Bachelors,Software Engineer,2,47,44620
37,Some-college,Tech-support,12,59,39825
40,HS-grad,Sales Associate,14,51,32367
50,PhD,Research Scientist,10,35,61906
27,Some-college,Adm-clerical,1,57,25964
20,Masters,Project Manager,1,57,37481
44,HS-grad,Graphic Designer,13,27,32237
23,HS-grad,Sales Associate,2,44,21051
54,HS-grad,Sales Associate,8,37,26622
60,Masters,Project Manager,37,59,79933
60,Bachelors,Business Analyst,36,34,63702
21,HS-grad,Sales Associate,1,26,18000
41,Masters,Accountant,3,47,38330
18,PhD,Research Scientist,0,57,60059
65,PhD,Professor,28,24,78540
52,Bachelors,Sales Associate,3,24,30094
59,HS-grad,Graphic Designer,22,44,38222
62,Bachelors,Software Engineer,31,51,64293
59,Masters,Project Manager,38,35,76062
39,Assoc,Nurse,8,24,27161
34,Some-college,Adm-clerical,11,42,26390
46,PhD,Professor,14,56,64362
64,Masters,Project Manager,22,64,66239
50,Some-college,Machine-op-inspct,29,36,47536
49,PhD,Legal Advisor,9,33,56883
26,Assoc,Plant Supervisor,6,66,32812
36,PhD,Legal Advisor,14,47,62646
50,HS-grad,Graphic Designer,32,38,49895
57,Assoc,Plant Supervisor,0,48,19426
51,PhD,Professor,28,67,81808
46,Masters,Data Scientist,6,43,51110
20,Masters,Project Manager,2,68,48227
34,Masters,Data Scientist,10,44,55133
60,Masters,Data Scientist,31,45,80773
45,Bachelors,Software Engineer,8,20,47360
61,HS-grad,Graphic Designer,40,26,56751
36,PhD,Professor,18,21,66362
63,Assoc,Quality Analyst,29,59,48215
65,Some-college,Craft-repair,1,51,22833
45,HS-grad,Graphic Designer,19,68,42229
19,Masters,Project Manager,0,64,42122
21,PhD,Legal Advisor,2,30,49565
49,Some-college,Protective-serv,26,49,49928
45,HS-grad,Sales Associate,27,53,44055
65,Masters,Accountant,24,55,59343
56,Masters,Data Scientist,31,36,79139
36,Assoc,Quality Analyst,11,48,40085
46,Bachelors,Business Analyst,25,36,52247
43,Assoc,Quality Analyst,3,61,36201
59,Some-college,Armed-Forces,12,30,38214
57,PhD,Legal Advisor,1,49,51697
33,Assoc,Nurse,0,45,27951
29,Some-college,Tech-support,2,45,26214
55,HS-grad,Marketing Manager,2,57,29048
18,Assoc,Plant Supervisor,0,49,24172
53,Some-college,Protective-serv,6,41,27176
32,Some-college,Adm-clerical,14,23,35474
54,Bachelors,Business Analyst,19,31,49530
54,HS-grad,Sales Associate,21,25,41238
65,Masters,Project Manager,5,44,43989
57,PhD,Legal Advisor,28,26,72027
55,PhD,Professor,26,39,76211
48,Bachelors,Sales Associate,26,51,56723
52,Masters,Data Scientist,10,40,53659
28,Assoc,Plant Supervisor,4,54,31414
32,Bachelors,Sales Associate,10,54,38010
38,Assoc,Quality Analyst,9,38,33102
19,Assoc,Nurse,1,62,30671
40,HS-grad,Graphic Designer,10,65,38474
38,Assoc,Quality Analyst,11,69,36572
59,Bachelors,Business Analyst,19,57,51519
35,Assoc,Quality Analyst,17,42,40648
61,Assoc,Quality Analyst,4,42,31422
27,HS-grad,Marketing Manager,5,38,31194
21,HS-grad,Graphic Designer,0,34,18000
37,PhD,Research Scientist,17,67,83890
60,HS-grad,Graphic Designer,14,31,38364
45,PhD,Legal Advisor,23,45,68542
30,PhD,Professor,1,56,56411
28,PhD,Research Scientist,7,63,71102
37,Assoc,Plant Supervisor,7,48,30297
33,Bachelors,Sales Associate,13,62,40727
64,Masters,Accountant,26,42,59638
37,Assoc,Nurse,4,61,31533
48,HS-grad,Graphic Designer,22,27,39914
29,Masters,Accountant,0,36,31440
63,Some-college,Craft-repair,10,53,30958
49,PhD,Research Scientist,19,34,70828
54,Masters,Accountant,7,59,45058
27,Masters,Project Manager,6,47,42955
30,HS-grad,Sales Associate,3,56,28027
55,PhD,Professor,9,59,66851
61,PhD,Legal Advisor,22,36,68582
59,Some-college,Transport-moving,33,28,50065
42,PhD,Professor,15,37,67523
56,Some-college,Adm-clerical,12,36,34504
44,HS-grad,Marketing Manager,20,37,47264
36,Bachelors,Business Analyst,6,54,39717
56,Some-college,Adm-clerical,3,44,27813
54,Masters,Data Scientist,5,38,52179
43,Masters,Data Scientist,13,50,62284
49,HS-grad,Sales Associate,26,57,46596
47,PhD,Professor,2,47,47965
55,PhD,Professor,7,27,56864
23,PhD,Professor,5,51,56569
48,Assoc,Quality Analyst,28,24,52827
58,PhD,Professor,30,40,77298
62,PhD,Professor,19,32,69647
53,HS-grad,Marketing Manager,32,20,51013
44,Some-college,Farming-fishing,12,42,28145
43,PhD,Legal Advisor,14,32,55004
33,HS-grad,Sales Associate,6,21,20098
34,PhD,Research Scientist,6,32,61684
30,PhD,Research Scientist,10,40,70070
65,PhD,Professor,16,59,71153
61,Bachelors,Business Analyst,30,42,57082
50,Bachelors,Business Analyst,8,66,41017
62,Bachelors,Software Engineer,13,27,48446
29,Assoc,Plant Supervisor,0,62,27690
60,Assoc,Nurse,30,36,55454
46,HS-grad,Marketing Manager,20,40,38413
25,Masters,Accountant,0,68,36556
28,Assoc,Nurse,7,68,34129
45,Assoc,Nurse,26,36,46204
55,PhD,Legal Advisor,27,21,75756
43,Bachelors,Business Analyst,16,62,55450
30,Bachelors,Business Analyst,3,51,32248
36,Bachelors,Business Analyst,2,65,40747
59,Assoc,Quality Analyst,17,67,44168
61,Bachelors,Business Analyst,26,28,53013
41,Bachelors,Sales Associate,22,33,46922
41,Assoc,Plant Supervisor,21,61,47252
37,HS-grad,Marketing Manager,7,29,28911
44,Assoc,Plant Supervisor,15,68,41336
61,Assoc,Quality Analyst,25,66,54670
21,Bachelors,Sales Associate,2,67,31608
42,HS-grad,Marketing Manager,1,49,27063
39,Bachelors,Software Engineer,20,52,59441
32,Bachelors,Business Analyst,9,65,42179
22,Masters,Data Scientist,0,62,56968
40,Bachelors,Sales Associate,3,46,33673
27,Assoc,Plant Supervisor,8,68,39240
22,Assoc,Quality Analyst,1,64,29817
55,Assoc,Quality Analyst,28,24,48238
65,HS-grad,Graphic Designer,1,20,24117
43,Assoc,Nurse,12,27,39898
45,Masters,Data Scientist,25,49,67130
29,Bachelors,Software Engineer,0,41,35549
18,Masters,Accountant,0,20,34639
32,Some-college,Handlers-cleaners,0,41,18000
62,PhD,Legal Advisor,15,27,58539
65,PhD,Professor,13,64,68193
63,PhD,Legal Advisor,13,66,65473
30,Masters,Accountant,0,50,32897
23,Masters,Accountant,4,41,37044
64,Some-college,Priv-house-serv,4,45,19862
23,Bachelors,Business Analyst,2,69,40247
30,PhD,Research Scientist,6,63,68717
60,Assoc,Nurse,34,36,52852
65,Assoc,Plant Supervisor,39,43,61805
34,Masters,Data Scientist,6,62,57239
23,Bachelors,Software Engineer,1,33,39724
64,Masters,Accountant,3,59,40893
43,PhD,Professor,12,21,61167
25,Assoc,Plant Supervisor,7,34,31599
56,Bachelors,Sales Associate,15,54,40660
55,PhD,Research Scientist,17,69,76867
60,Bachelors,Business Analyst,22,24,56845
63,PhD,Research Scientist,3,48,61435
49,Some-college,Farming-fishing,8,56,28774
23,Some-college,Other-service,2,22,21845
21,Bachelors,Sales Associate,0,60,31076
49,Assoc,Quality Analyst,21,25,40860
28,PhD,Legal Advisor,10,61,60766
29,Assoc,Quality Analyst,6,33,28215
40,HS-grad,Sales Associate,9,38,29003
22,Masters,Accountant,3,42,33795
42,Masters,Accountant,9,33,40992
63,Some-college,Transport-moving,29,60,49111
38,Assoc,Nurse,20,41,42949
34,Masters,Accountant,1,31,33529
52,Assoc,Plant Supervisor,25,35,43443
61,PhD,Professor,11,32,60799
44,Some-college,Protective-serv,26,34,46540
57,PhD,Legal Advisor,11,32,58980
53,Masters,Data Scientist,20,27,66775
33,Masters,Project Manager,3,47,43654
40,Masters,Project Manager,15,33,51440
62,Some-college,Adm-clerical,36,48,53403
30,PhD,Legal Advisor,9,40,52021
46,Masters,Accountant,19,44,49484
22,PhD,Research Scientist,3,49,58736
40,Masters,Accountant,1,32,31265
56,Bachelors,Software Engineer,18,57,54014
32,PhD,Legal Advisor,8,39,57646
37,Some-college,Handlers-cleaners,10,56,31545
21,PhD,Research Scientist,0,63,64432
36,Masters,Accountant,1,29,39074
41,Some-college,Tech-support,16,51,37669
60,Masters,Accountant,23,20,55393
38,Assoc,Nurse,3,26,29670
41,Some-college,Priv-house-serv,3,63,22649
28,Assoc,Plant Supervisor,7,69,38766
59,Bachelors,Sales Associate,26,68,55128
33,PhD,Research Scientist,1,49,57784
59,Masters,Project Manager,39,52,75840
59,Masters,Data Scientist,36,35,79098
44,Some-college,Protective-serv,8,35,29614
42,Some-college,Priv-house-serv,1,31,18000
49,HS-grad,Marketing Manager,24,53,43135
19,Bachelors,Sales Associate,0,55,26635
19,HS-grad,Marketing Manager,0,34,21824
45,Bachelors,Software Engineer,19,58,56267
35,PhD,Professor,13,53,65501
39,Some-college,Armed-Forces,5,55,28159
55,Masters,Project Manager,2,42,43585
33,Masters,Accountant,10,24,45566
48,PhD,Legal Advisor,13,25,63290
62,Bachelors,Software Engineer,22,33,57091
44,Masters,Data Scientist,19,42,57130
32,Assoc,Plant Supervisor,10,52,32935
49,PhD,Legal Advisor,7,32,54745
22,Assoc,Nurse,0,48,27159
62,PhD,Research Scientist,4,46,60295
18,HS-grad,Graphic Designer,0,39,19010
20,Assoc,Plant Supervisor,0,66,29156
19,HS-grad,Sales Associate,0,39,18000
20,Assoc,Quality Analyst,2,24,29283
37,Assoc,Quality Analyst,8,58,35439
62,PhD,Legal Advisor,12,32,61508
39,Bachelors,Software Engineer,19,66,62413
43,Assoc,Plant Supervisor,15,45,39790
45,Assoc,Quality Analyst,8,39,34385
48,Assoc,Nurse,22,33,46275
59,Assoc,Plant Supervisor,26,30,47809
55,PhD,Research Scientist,27,20,80426
64,Assoc,Nurse,6,30,33238
54,Bachelors,Sales Associate,23,35,47572
42,HS-grad,Sales Associate,21,23,42464
28,PhD,Research Scientist,5,60,64652
45,Masters,Accountant,10,66,50466
50,Masters,Accountant,13,33,43996
45,Assoc,Plant Supervisor,16,22,33653
32,Masters,Data Scientist,13,44,58385
59,Assoc,Plant Supervisor,37,42,62070
58,HS-grad,Marketing Manager,9,29,30641
65,HS-grad,Graphic Designer,37,46,53416
21,Masters,Project Manager,0,23,38296
43,Assoc,Plant Supervisor,3,20,26812
25,Masters,Accountant,4,43,36781
60,Assoc,Plant Supervisor,26,51,49505
33,Bachelors,Software Engineer,2,66,46509
48,Assoc,Nurse,3,56,32475
47,Bachelors,Business Analyst,21,30,55122
29,Some-college,Armed-Forces,3,37,24926
43,Masters,Data Scientist,22,45,66871
23,Masters,Project Manager,3,27,41544
47,Some-college,Handlers-cleaners,24,61,47358
54,HS-grad,Marketing Manager,11,49,34012
56,Some-college,Other-service,17,22,32992
61,Assoc,Plant Supervisor,37,56,60254
21,Assoc,Plant Supervisor,0,53,23608
19,Masters,Project Manager,1,25,34014
33,Masters,Accountant,14,33,42424
26,Bachelors,Sales Associate,5,51,32947
27,Masters,Accountant,6,34,40408
64,Masters,Accountant,2,38,33252
29,Assoc,Plant Supervisor,5,32,30949
20,Masters,Accountant,2,39,34821
25,Assoc,Quality Analyst,6,35,30009
65,Masters,Accountant,8,33,41238
27,Masters,Data Scientist,7,68,56158
29,HS-grad,Marketing Manager,8,36,32812
53,PhD,Professor,22,62,77262
22,PhD,Legal Advisor,2,44,49765
45,PhD,Research Scientist,18,46,72469
21,HS-grad,Sales Associate,1,53,24822
30,PhD,Professor,4,44,55742
35,Bachelors,Business Analyst,14,37,46378
64,Some-college,Armed-Forces,12,69,46077
28,HS-grad,Graphic Designer,2,54,28585
62,PhD,Research Scientist,23,60,79509
60,HS-grad,Graphic Designer,21,42,38788
50,Bachelors,Sales Associate,18,47,44664
54,Assoc,Quality Analyst,25,54,49314
40,PhD,Professor,21,41,67625
62,Bachelors,Sales Associate,7,63,37171
38,Some-college,Farming-fishing,8,20,28876
40,PhD,Legal Advisor,10,62,56820
40,Assoc,Plant Supervisor,14,52,36787
56,Masters,Data Scientist,22,46,65107
57,Assoc,Nurse,6,69,37358
23,Bachelors,Sales Associate,2,28,25437
57,Masters,Project Manager,12,68,59407
45,Bachelors,Software Engineer,16,47,48681
23,Some-college,Transport-moving,2,57,25958
28,PhD,Professor,1,59,56414
35,HS-grad,Graphic Designer,16,43,33414
18,Masters,Accountant,0,55,36490
51,PhD,Legal Advisor,24,35,65127
40,Some-college,Craft-repair,18,44,37601
36,HS-grad,Marketing Manager,0,53,27085
35,Bachelors,Sales Associate,1,44,32011
49,Some-college,Machine-op-inspct,8,67,35068
48,Assoc,Nurse,9,29,29689
26,Bachelors,Software Engineer,3,59,44235
26,HS-grad,Sales Associate,3,36,22431
35,Bachelors,Sales Associate,14,21,40098
21,Masters,Data Scientist,1,64,50866
63,Assoc,Nurse,8,49,36829
52,Masters,Accountant,12,55,52524
26,Some-college,Armed-Forces,3,26,27341
40,Some-college,Machine-op-inspct,6,59,24489
48,Masters,Accountant,24,50,53715
61,Some-college,Other-service,16,64,40886
23,Bachelors,Business Analyst,2,54,39336
37,Some-college,Protective-serv,4,38,28753
42,HS-grad,Graphic Designer,11,54,33814
36,PhD,Professor,5,55,54929
57,HS-grad,Graphic Designer,7,37,24407
59,Bachelors,Sales Associate,16,64,42787
23,Some-college,Adm-clerical,4,44,27458
41,HS-grad,Marketing Manager,10,45,31995
28,Bachelors,Sales Associate,5,33,26850
65,Assoc,Plant Supervisor,20,58,47844
24,Bachelors,Business Analyst,0,64,38776
25,HS-grad,Sales Associate,7,23,29985
44,Masters,Accountant,0,46,38128
61,PhD,Legal Advisor,22,60,73147
53,HS-grad,Marketing Manager,16,54,43645
64,Masters,Accountant,34,33,67245
35,HS-grad,Graphic Designer,17,33,38943
44,Some-college,Machine-op-inspct,14,69,34076
64,Assoc,Plant Supervisor,12,60,41199
57,Some-college,Farming-fishing,31,51,48172
35,Masters,Project Manager,6,48,42014
55,Masters,Data Scientist,13,27,57781
42,Masters,Project Manager,23,49,55669
39,Masters,Data Scientist,2,56,53842
34,HS-grad,Graphic Designer,15,21,37174
56,Bachelors,Software Engineer,33,49,70982
54,Assoc,Quality Analyst,8,24,31534
19,Some-college,Transport-moving,0,62,23073
63,PhD,Legal Advisor,32,37,78103
50,HS-grad,Graphic Designer,0,43,18937
49,Assoc,Nurse,0,47,24726
53,Some-college,Transport-moving,5,35,26866
35,HS-grad,Sales Associate,12,68,34363
56,Masters,Accountant,16,34,49760
51,PhD,Research Scientist,3,22,63102
24,Some-college,Priv-house-serv,5,41,22701
60,HS-grad,Marketing Manager,28,40,49815
64,Some-college,Transport-moving,11,61,36221
55,Bachelors,Sales Associate,7,20,29917
41,PhD,Professor,14,26,64388
47,Bachelors,Sales Associate,28,41,47085
46,Assoc,Plant Supervisor,18,60,47679
34,PhD,Research Scientist,5,33,62433
63,HS-grad,Graphic Designer,21,22,37671
52,Bachelors,Business Analyst,0,40,33299
54,Masters,Project Manager,0,20,40665
57,Bachelors,Sales Associate,25,35,46468
53,Bachelors,Software Engineer,9,62,50133
51,Bachelors,Sales Associate,3,33,28307
49,PhD,Legal Advisor,18,21,62918
39,Masters,Project Manager,8,39,44155
64,HS-grad,Marketing Manager,5,38,25338
32,Some-college,Adm-clerical,11,46,28617
32,Some-college,Nurse,3,64,32444
33,Some-college,Nurse,6,57,38367
43,PhD,Professor,2,34,56586
58,HS-grad,Sales Associate,22,26,43259
49,Assoc,Plant Supervisor,30,37,56140
27,PhD,Legal Advisor,6,45,56105
38,Some-college,Other-service,16,52,33964
29,Some-college,Craft-repair,7,35,24325
44,HS-grad,Graphic Designer,16,65,34895
24,Bachelors,Business Analyst,4,34,30354
39,HS-grad,Graphic Designer,0,30,21357
55,Assoc,Quality Analyst,23,59,47695
34,PhD,Professor,4,21,51208
34,HS-grad,Sales Associate,15,49,33850
38,Some-college,Protective-serv,20,37,41449
35,Masters,Data Scientist,9,67,63590
62,Bachelors,Software Engineer,17,36,56114
37,Bachelors,Business Analyst,14,62,47867
30,Bachelors,Software Engineer,10,34,47520
43,Some-college,Other-service,24,45,40523
35,Some-college,Armed-Forces,2,21,26704
29,Bachelors,Software Engineer,0,22,39561
43,Assoc,Quality Analyst,2,27,29923
18,Masters,Project Manager,0,68,46576
33,HS-grad,Marketing Manager,15,27,35645
58,Bachelors,Sales Associate,13,62,44329
31,Some-college,Priv-house-serv,6,52,24668
43,Assoc,Quality Analyst,10,21,37802
29,PhD,Research Scientist,9,63,75960
61,PhD,Research Scientist,25,40,81805
59,Bachelors,Business Analyst,8,42,41981
37,PhD,Research Scientist,19,65,76731
29,Assoc,Nurse,7,21,30983
61,Assoc,Plant Supervisor,5,32,31651
35,Bachelors,Business Analyst,11,49,41642
37,Assoc,Plant Supervisor,10,56,35171
28,Assoc,Quality Analyst,2,24,27226
23,Assoc,Quality Analyst,0,45,30235
28,Masters,Data Scientist,5,27,52435
31,PhD,Legal Advisor,9,31,56701
63,PhD,Legal Advisor,33,60,83150
21,HS-grad,Graphic Designer,1,32,23258
38,Some-college,Priv-house-serv,3,37,20749
51,HS-grad,Marketing Manager,5,27,28978
28,Masters,Accountant,8,31,48680
53,Assoc,Quality Analyst,9,40,29931
59,Bachelors,Software Engineer,11,33,48472
61,PhD,Professor,29,58,82427
24,Bachelors,Sales Associate,0,20,26913
61,Masters,Project Manager,9,25,48578
55,HS-grad,Graphic Designer,23,29,38740
56,PhD,Professor,23,52,77441
45,Assoc,Plant Supervisor,24,51,50010
43,Some-college,Priv-house-serv,24,30,37421
57,Some-college,Transport-moving,22,48,42809
19,HS-grad,Sales Associate,1,66,30476
51,HS-grad,Sales Associate,19,54,38933
25,Some-college,Farming-fishing,4,49,25266
27,Bachelors,Software Engineer,6,68,49201
36,HS-grad,Marketing Manager,17,56,45040
40,PhD,Legal Advisor,21,35,68192
25,Masters,Data Scientist,1,67,53346
47,Masters,Project Manager,21,32,55440
29,Assoc,Plant Supervisor,1,30,23579
30,Bachelors,Business Analyst,4,41,38966
57,Bachelors,Sales Associate,8,51,33595
22,Masters,Data Scientist,2,29,46961
32,PhD,Research Scientist,9,26,68040
32,Bachelors,Sales Associate,3,40,24611
54,Bachelors,Business Analyst,22,48,52551
62,Masters,Data Scientist,26,58,73629
21,PhD,Professor,3,35,53135
42,Masters,Project Manager,11,31,45319
29,HS-grad,Sales Associate,4,47,22751
51,Assoc,Quality Analyst,33,32,52770
59,Some-college,Protective-serv,37,23,49170
24,Masters,Data Scientist,0,27,45442
27,PhD,Legal Advisor,5,23,48442
53,Some-college,Farming-fishing,24,42,42630
35,Assoc,Quality Analyst,10,54,35207
51,PhD,Legal Advisor,13,23,56918
59,Some-college,Armed-Forces,15,31,38058
51,Bachelors,Software Engineer,0,58,39121
41,Assoc,Nurse,2,65,32960
56,Some-college,Machine-op-inspct,25,68,50001
26,Bachelors,Software Engineer,3,26,38695
41,Some-college,Nurse,7,50,37315
51,Assoc,Nurse,23,68,51743
33,Bachelors,Business Analyst,8,66,43775
53,PhD,Research Scientist,2,41,63929
29,HS-grad,Marketing Manager,6,40,31875
37,Some-college,Adm-clerical,14,42,34457
38,Bachelors,Software Engineer,14,36,52965
35,PhD,Professor,13,55,65655
62,Bachelors,Sales Associate,6,63,34509
27,Some-college,Handlers-cleaners,9,60,28462
22,Masters,Accountant,1,29,32571
25,Assoc,Quality Analyst,0,47,22846
31,HS-grad,Graphic Designer,4,49,25203
57,Bachelors,Software Engineer,37,62,76098
50,Assoc,Plant Supervisor,12,33,38299
53,Assoc,Quality Analyst,9,50,39673
18,PhD,Professor,0,26,53943
37,PhD,Legal Advisor,5,44,49385
38,Bachelors,Software Engineer,17,66,55536
62,HS-grad,Sales Associate,2,61,23575
58,Masters,Accountant,39,22,66638
37,Masters,Accountant,19,63,58633
38,Masters,Project Manager,15,42,49447
26,HS-grad,Graphic Designer,0,21,19378
24,Assoc,Nurse,5,61,34125
64,HS-grad,Graphic Designer,1,55,26295
22,Assoc,Quality Analyst,1,26,19560
42,Masters,Project Manager,4,49,46711
26,Bachelors,Software Engineer,3,43,41175
29,HS-grad,Graphic Designer,1,36,26729
52,PhD,Legal Advisor,22,36,68243
62,Assoc,Nurse,11,39,29962
62,HS-grad,Sales Associate,0,29,20410
45,Some-college,Protective-serv,17,58,47490
35,HS-grad,Sales Associate,11,27,33978
55,Bachelors,Business Analyst,8,28,41254
52,PhD,Legal Advisor,17,24,68196
45,Bachelors,Software Engineer,11,21,47759
39,Assoc,Plant Supervisor,15,39,37023
24,HS-grad,Sales Associate,0,50,21388
22,Bachelors,Business Analyst,3,69,44805
34,PhD,Research Scientist,3,26,60491
48,PhD,Professor,18,58,69855
51,PhD,Professor,14,33,64264
54,PhD,Research Scientist,31,22,85947
29,Assoc,Nurse,0,26,26418
21,Masters,Project Manager,1,58,41218
49,Assoc,Quality Analyst,9,28,35075
36,Assoc,Quality Analyst,5,23,28579
54,Bachelors,Software Engineer,34,50,72652
57,Bachelors,Software Engineer,12,23,45566
34,HS-grad,Graphic Designer,8,21,29445
19,HS-grad,Sales Associate,1,47,24916
20,Assoc,Nurse,2,31,29012
56,Masters,Accountant,12,60,48802
50,Masters,Project Manager,15,64,55193
22,Assoc,Nurse,1,30,24200
51,Some-college,Priv-house-serv,2,27,20332
24,Assoc,Quality Analyst,4,21,27115
56,HS-grad,Graphic Designer,16,64,40583
40,Assoc,Plant Supervisor,13,25,37627
32,Bachelors,Software Engineer,11,68,52250
50,Masters,Data Scientist,21,69,70985
54,PhD,Research Scientist,29,50,85781
65,Some-college,Priv-house-serv,17,42,26930
45,Assoc,Quality Analyst,20,58,51345
44,Masters,Data Scientist,25,64,73884
40,PhD,Professor,1,34,50557
26,Some-college,Craft-repair,5,58,28702
28,HS-grad,Marketing Manager,10,52,34988
48,Masters,Accountant,5,65,44980
48,Assoc,Nurse,27,58,54109
60,HS-grad,Sales Associate,37,39,53011
27,Some-college,Armed-Forces,4,28,27277
55,Some-college,Tech-support,30,29,47264
64,Masters,Data Scientist,5,67,53675
27,HS-grad,Graphic Designer,4,65,31033
61,Some-college,Machine-op-inspct,25,27,43460
32,Masters,Project Manager,10,35,48456
48,Bachelors,Sales Associate,12,35,34592
19,Assoc,Quality Analyst,1,46,25357
63,Assoc,Plant Supervisor,24,30,47755
24,HS-grad,Sales Associate,5,40,26299
63,Masters,Project Manager,30,69,68625
65,HS-grad,Sales Associate,8,34,29970
54,PhD,Professor,21,26,72111
33,HS-grad,Sales Associate,5,47,25485
26,Masters,Data Scientist,8,46,55454
46,Masters,Project Manager,18,68,63971
59,Masters,Data Scientist,6,61,61823
44,Bachelors,Software Engineer,25,65,67636
40,Assoc,Quality Analyst,9,61,34964
20,Bachelors,Software Engineer,1,25,41068
37,PhD,Professor,6,43,58584
18,Bachelors,Software Engineer,0,36,36310
58,Masters,Project Manager,2,65,45826
61,Assoc,Plant Supervisor,25,32,45763
34,Assoc,Nurse,14,35,36978
28,HS-grad,Marketing Manager,0,34,26203
30,Masters,Accountant,9,30,41664
56,Some-college,Tech-support,22,26,42585
50,HS-grad,Marketing Manager,14,21,36131
24,HS-grad,Graphic Designer,3,39,25344
18,Bachelors,Software Engineer,0,54,40126
53,PhD,Research Scientist,24,35,82596
41,Assoc,Plant Supervisor,10,64,37330
53,Bachelors,Software Engineer,35,23,72366
38,PhD,Research Scientist,3,63,61746
43,Masters,Project Manager,20,36,57620
31,HS-grad,Graphic Designer,0,56,26563
65,Some-college,Other-service,13,52,34656
36,Assoc,Quality Analyst,4,37,26646
24,Bachelors,Software Engineer,5,31,44672
60,Some-college,Priv-house-serv,16,24,29626
26,Masters,Project Manager,0,52,44255
46,PhD,Professor,28,69,82016
32,PhD,Professor,5,61,59701
61,Some-college,Tech-support,38,35,55448
20,Assoc,Plant Supervisor,2,69,29775
35,Masters,Project Manager,15,44,54048
30,HS-grad,Marketing Manager,3,33,23920
61,Bachelors,Business Analyst,4,24,37989
59,Masters,Data Scientist,31,52,76408
20,Bachelors,Software Engineer,1,49,39452
19,HS-grad,Marketing Manager,1,22,21957
61,Masters,Accountant,34,42,69151
58,HS-grad,Marketing Manager,30,63,53890
22,Masters,Project Manager,1,61,46210
60,Bachelors,Business Analyst,24,53,55166
20,PhD,Research Scientist,0,22,58090
41,Some-college,Transport-moving,20,25,39514
53,Some-college,Armed-Forces,1,30,28815
35,Some-college,Priv-house-serv,3,59,23837
47,Masters,Accountant,17,62,52717
25,Masters,Project Manager,1,66,44635
44,Assoc,Nurse,7,51,36403
36,Some-college,Protective-serv,17,61,44681
54,HS-grad,Graphic Designer,18,52,41716
25,Some-college,Armed-Forces,4,61,35180
39,Some-college,Handlers-cleaners,14,32,31703
60,Bachelors,Software Engineer,22,52,56082
33,PhD,Research Scientist,12,58,71852
65,HS-grad,Marketing Manager,0,68,31634
55,PhD,Research Scientist,23,37,78621
25,Assoc,Quality Analyst,3,29,29062
43,PhD,Research Scientist,6,31,61703
39,Assoc,Plant Supervisor,18,42,38091
38,HS-grad,Sales Associate,8,29,26837
26,Masters,Accountant,3,21,35491
65,Assoc,Plant Supervisor,18,22,40413
26,Some-college,Adm-clerical,3,31,21554
18,PhD,Professor,0,46,54229
46,Bachelors,Sales Associate,17,31,39721
39,Masters,Accountant,3,30,34858
65,Some-college,Craft-repair,14,50,31221
48,Some-college,Machine-op-inspct,18,59,36021
31,Some-college,Craft-repair,8,67,32715
26,Some-college,Tech-support,5,42,25727
18,Masters,Data Scientist,0,40,47406
34,Bachelors,Software Engineer,7,22,43985
29,Bachelors,Sales Associate,1,65,31924
28,HS-grad,Sales Associate,4,54,27292
19,Assoc,Quality Analyst,1,50,32222
45,Masters,Accountant,27,50,62345
19,Assoc,Nurse,1,60,26011
38,Bachelors,Software Engineer,19,57,60636
42,Bachelors,Business Analyst,1,51,33980
18,Assoc,Quality Analyst,0,24,21981
29,Masters,Accountant,8,54,41622
30,PhD,Legal Advisor,8,66,60485
37,PhD,Legal Advisor,4,43,53766
33,Some-college,Other-service,1,31,20604
59,Masters,Data Scientist,38,44,84061
40,HS-grad,Marketing Manager,17,32,38374
49,Bachelors,Sales Associate,17,34,41952
27,PhD,Professor,7,37,54338
24,HS-grad,Marketing Manager,3,45,25178
31,Masters,Accountant,0,52,35679
34,HS-grad,Sales Associate,10,36,30130
56,PhD,Legal Advisor,12,37,53341
50,PhD,Research Scientist,17,28,72646
44,HS-grad,Graphic Designer,5,54,23068
37,Masters,Project Manager,3,29,39688
33,Masters,Project Manager,6,35,43298
33,Assoc,Plant Supervisor,7,31,33304
49,Assoc,Quality Analyst,8,25,28813
19,Assoc,Quality Analyst,0,47,23103
56,Bachelors,Business Analyst,32,20,63135
62,Masters,Project Manager,33,66,74868
48,PhD,Legal Advisor,23,50,70080
49,Masters,Project Manager,16,33,51485
44,Masters,Accountant,24,51,57364
63,Bachelors,Business Analyst,17,56,53516
59,Bachelors,Business Analyst,21,38,54605
45,PhD,Professor,2,62,57526
48,Assoc,Nurse,10,56,41236
46,Masters,Accountant,17,62,52803
40,Some-college,Machine-op-inspct,18,30,33135
25,Bachelors,Business Analyst,4,30,34695
27,Some-college,Machine-op-inspct,2,28,22138
61,Assoc,Nurse,11,22,37388
38,Assoc,Plant Supervisor,19,63,48488
30,Some-college,Adm-clerical,4,23,25399
52,HS-grad,Graphic Designer,20,37,37242
34,HS-grad,Graphic Designer,10,50,39692
19,Assoc,Quality Analyst,1,34,28940
